,Year,Category,Sales review,Review_counts
4,2015,Office Supplies,Cao,235
5,2015,Office Supplies,Siêu Cao,144
6,2015,Office Supplies,Thấp,444
7,2015,Office Supplies,Trung Bình,369
16,2016,Office Supplies,Cao,284
17,2016,Office Supplies,Siêu Cao,127
18,2016,Office Supplies,Thấp,449
19,2016,Office Supplies,Trung Bình,350
28,2017,Office Supplies,Cao,325
29,2017,Office Supplies,Siêu Cao,173
30,2017,Office Supplies,Thấp,545
31,2017,Office Supplies,Trung Bình,494
40,2018,Office Supplies,Cao,401
41,2018,Office Supplies,Siêu Cao,251
42,2018,Office Supplies,Thấp,725
43,2018,Office Supplies,Trung Bình,593
