,Year,Category,Sales review,Review_counts
8,2015,Technology,Cao,123
9,2015,Technology,Siêu Cao,155
10,2015,Technology,Thấp,18
11,2015,Technology,Trung Bình,51
20,2016,Technology,Cao,127
21,2016,Technology,Siêu Cao,191
22,2016,Technology,Thấp,18
23,2016,Technology,Trung Bình,69
32,2017,Technology,Cao,176
33,2017,Technology,Siêu Cao,186
34,2017,Technology,Thấp,17
35,2017,Technology,Trung Bình,71
44,2018,Technology,Cao,247
45,2018,Technology,Siêu Cao,236
46,2018,Technology,Thấp,25
47,2018,Technology,Trung Bình,102
