,Year,Segment,Sales review,Review_counts
0,2015,Consumer,Cao,249
1,2015,Consumer,Siêu Cao,256
2,2015,Consumer,Thấp,267
3,2015,Consumer,Trung Bình,273
12,2016,Consumer,Cao,280
13,2016,Consumer,Siêu Cao,296
14,2016,Consumer,Thấp,266
15,2016,Consumer,Trung Bình,270
24,2017,Consumer,Cao,355
25,2017,Consumer,Siêu Cao,302
26,2017,Consumer,Thấp,320
27,2017,Consumer,Trung Bình,327
36,2018,Consumer,Cao,451
37,2018,Consumer,Siêu Cao,352
38,2018,Consumer,Thấp,422
39,2018,Consumer,Trung Bình,415
