,Year,Segment,Sales review,Review_counts
4,2015,Corporate,Cao,156
5,2015,Corporate,Siêu Cao,146
6,2015,Corporate,Thấp,162
7,2015,Corporate,Trung Bình,137
16,2016,Corporate,Cao,176
17,2016,Corporate,Siêu Cao,132
18,2016,Corporate,Thấp,161
19,2016,Corporate,Trung Bình,139
28,2017,Corporate,Cao,195
29,2017,Corporate,Siêu Cao,196
30,2017,Corporate,Thấp,175
31,2017,Corporate,Trung Bình,209
40,2018,Corporate,Cao,245
41,2018,Corporate,Siêu Cao,249
42,2018,Corporate,Thấp,235
43,2018,Corporate,Trung Bình,240
